price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
23.366966,Secondary,Панфиловская,5,2,64.1,32.4,5.1,7,11,European-style renovation
9.9,Secondary,Бутырская ,8,0,21.7,16.0,3.0,32,32,Without renovation
20.0,Secondary,Пыхтино,18,2,57.4,32.4,13.0,23,25,Designer
21.706077,Secondary, Филатов Луг,11,4,104.1,51.9,15.3,20,22,European-style renovation
11.0,Secondary,Планерная,25,1,37.0,20.0,8.0,5,16,Cosmetic
8.46336,New building,Депо,19,1,44.08,24.4,10.3,7,11,Cosmetic
8.818986,New building,Каширская,4,1,33.06,18.8,9.4,10,10,Cosmetic
12.8,Secondary, Мичуринский проспект,5,0,28.0,16.3,9.0,10,41,Without renovation
7.2,Secondary,Марксистская,4,0,9.8,7.1,2.0,1,4,Designer
6.92994,Secondary, Пятницкое шоссе,5,6,20.0,9.7,5.2,3,19,Cosmetic
50.843,Secondary,ЗИЛ,21,3,109.9,57.7,15.7,4,15,Without renovation
8.68376,New building,Депо,19,1,44.08,14.0,18.5,13,11,Cosmetic
10.8,Secondary,Бибирево,15,1,39.0,20.9,8.6,11,12,Without renovation
5.984822,Secondary,Электрозаводская,12,0,15.6,8.6,2.0,6,8,Designer
4.5,Secondary,Рязанский проспект,16,0,16.9,10.0,4.0,2,6,European-style renovation
24.5,Secondary, ЗИЛ,21,2,64.2,27.1,21.3,7,17,European-style renovation
26.7,Secondary, Дмитровская,2,2,57.0,38.0,14.0,44,59,European-style renovation
17.351368,New building,Каширская,3,2,60.86,32.9,11.7,9,10,Cosmetic
13.0,Secondary,Братиславская,13,1,34.6,18.8,8.3,2,16,Cosmetic
75.9,Secondary,Площадь Гагарина,8,3,118.0,56.0,29.4,3,22,European-style renovation
49.6,Secondary,Юго-Западная,7,4,134.4,84.0,13.2,10,33,European-style renovation
13.0,Secondary,Некрасовка,15,2,60.0,31.6,16.9,5,22,Cosmetic
11.9,Secondary,Пражская,7,1,37.5,19.1,8.4,10,16,Cosmetic
5.19,Secondary, Пятницкое шоссе,25,0,17.3,14.0,8.1,6,9,European-style renovation
14.6608,New building,Депо,13,3,77.0,36.2,22.3,7,11,Cosmetic
62.0,Secondary, Улица 1905 года,6,2,58.18,31.5,11.5,3,21,Without renovation
13.2,Secondary,Белорусская,14,1,34.3,19.0,10.0,12,16,Cosmetic
75.0,Secondary, Маяковская,2,4,145.5,100.0,20.0,2,8,European-style renovation
5.698,New building,Братиславская,13,0,28.49,18.2,9.0,2,16,Cosmetic
38.0,Secondary, Ростокино,13,0,128.0,66.8,17.2,52,58,Without renovation
4.2,Secondary,Алтуфьево,7,0,17.0,10.7,8.0,1,12,Cosmetic
14.8,Secondary,Аминьевская,9,1,33.6,11.7,11.0,20,34,Cosmetic
8.23548,New building,Братиславская,13,1,44.04,24.4,10.3,7,16,Cosmetic
13.9,Secondary,Севастопольская,8,2,44.0,28.0,6.0,5,5,Cosmetic
8.17671,New building,Братиславская,13,1,42.81,16.4,13.2,4,16,Cosmetic
57.0,Secondary,Динамо,8,3,95.0,50.2,14.5,8,12,European-style renovation
48.5,Secondary, Университет,8,4,95.6,68.5,9.0,3,8,Cosmetic
29.915835,Secondary, Балтийская,11,4,86.7,55.4,7.5,26,35,European-style renovation
59.291,Secondary,ЗИЛ,12,4,114.6,60.1,16.1,34,40,Without renovation
12.2,Secondary,Кантемировская,16,2,44.8,29.0,6.0,4,5,Cosmetic
16.5,Secondary,Перово,26,1,47.9,17.8,10.7,10,14,European-style renovation
6.95,Secondary,Измайлово,8,0,18.0,8.0,4.0,2,2,Cosmetic
3.85,Secondary,Новогиреево,10,0,14.0,10.0,4.0,1,5,Without renovation
9.4,Secondary,Аэропорт,3,0,17.8,12.0,5.0,4,4,Designer
49.0,Secondary,Хорошёвская,13,0,94.0,74.0,20.0,5,24,Without renovation
6.7,Secondary,Улица Горчакова,30,0,19.0,13.0,3.0,15,15,Without renovation
20.499999,Secondary,Авиамоторная,7,4,79.8,54.1,8.0,3,6,European-style renovation
10.02921,New building,Братиславская,13,2,55.41,30.1,11.2,7,16,Cosmetic
60.945549,Secondary,Панфиловская,5,4,167.0,86.6,7.7,8,11,Without renovation
11.4721,New building,Братиславская,13,2,64.45,34.7,12.0,15,16,Cosmetic
10.5,Secondary,Текстильщики,16,1,36.6,20.0,10.0,12,12,Cosmetic
12.0,Secondary,Ховрино,13,2,39.0,22.0,7.5,9,12,Cosmetic
8.74649,Secondary,Преображенская площадь,12,0,24.8,17.8,2.0,2,4,Designer
18.45,Secondary,Коптево,14,3,75.0,43.4,10.1,5,12,Cosmetic
24.0,Secondary,Давыдково,13,3,70.0,40.8,10.4,4,5,Designer
58.0,Secondary,Динамо,8,0,92.0,57.0,14.0,10,21,Designer
10.8,Secondary,Царицыно,11,1,35.0,14.2,9.0,2,17,Cosmetic
17.9,Secondary,Коммунарка,25,4,72.0,38.5,12.6,2,16,European-style renovation
14.13126,New building,Депо,19,3,87.23,46.2,13.9,8,11,Cosmetic
51.0,Secondary,Давыдково,26,3,112.3,58.9,15.9,16,23,Designer
23.7,Secondary,Хорошёвская,6,1,41.0,30.0,10.0,23,24,European-style renovation
19.25,Secondary,Медведково,15,3,80.6,44.7,13.4,6,12,European-style renovation
11.8,Secondary,Бульвар Рокоссовского,32,2,44.6,32.2,7.5,4,9,Without renovation
16.0,Secondary,Профсоюзная,16,1,45.4,19.0,12.0,7,9,European-style renovation
5.87165,New building,Братиславская,5,0,21.5,10.2,5.6,13,16,Cosmetic
14.1988,New building,Депо,13,3,77.0,36.2,22.3,14,11,Cosmetic
36.482,Secondary, Калужская,8,4,92.5,48.9,14.3,28,34,European-style renovation
22.5,Secondary, Хорошёво,19,3,58.0,41.0,12.0,5,22,European-style renovation
23.0,Secondary, Рассказовка,5,0,85.0,60.0,11.0,10,22,European-style renovation
41.433,Secondary,ЗИЛ,22,3,86.1,45.7,13.8,15,15,Without renovation
7.2,Secondary,Нагатинский Затон,20,0,17.0,8.0,4.0,17,18,Without renovation
8.00547,New building,Братиславская,13,1,42.81,23.8,10.2,9,16,Cosmetic
15.5,Secondary,Кунцевская,6,1,40.0,18.0,10.0,8,25,Cosmetic
12.99,Secondary,Отрадное,18,2,45.8,25.3,6.7,11,12,Cosmetic
65.1,Secondary,Алексеевская,13,1,155.0,98.0,14.8,16,18,Without renovation
51.0,Secondary,Смоленская,9,1,65.0,25.0,10.0,2,13,Designer
7.2,Secondary, Электрозаводская,11,0,17.0,10.7,8.0,3,8,European-style renovation
10.91249,New building,Депо,19,2,60.29,32.6,11.6,11,11,Cosmetic
8.65,Secondary,Чкаловская,13,0,21.5,19.0,8.4,3,8,Without renovation
8.0,New building,Марьино,3,0,21.6,10.2,5.6,16,15,Cosmetic
42.6755,Secondary,Сходненская,17,1,121.2,74.0,15.0,1,5,Without renovation
19.9,Secondary,Аминьевская,5,1,46.3,21.0,12.0,22,42,Without renovation
37.9,Secondary, Улица 1905 года,20,2,65.0,8.0,12.0,3,19,Designer
15.0,Secondary,Нагорная,6,1,35.1,17.0,10.0,8,8,Without renovation
8.0,Secondary,Покровское,24,1,39.0,18.5,12.5,6,12,Without renovation
29.0,Secondary,Измайловская,13,1,54.3,21.0,15.0,2,18,European-style renovation
33.9,Secondary,Рабочий Посёлок,20,4,99.7,45.0,28.4,15,28,Without renovation
8.13603,New building,Депо,13,1,35.7,10.1,16.4,11,11,Cosmetic
4.25,Secondary,Отрадное,16,0,17.5,11.0,8.1,1,9,Cosmetic
52.1,Secondary,Китай-город,5,2,52.1,28.5,11.0,3,3,Designer
11.22991,New building,Депо,13,2,54.7,23.5,19.4,3,11,Cosmetic
10.0,Secondary,Сокол,10,0,40.0,22.4,9.9,10,14,European-style renovation
25.0,Secondary,Медведково,3,3,58.4,44.1,6.0,6,9,Cosmetic
26.9,Secondary,Шелепиха,13,3,82.5,57.7,8.9,9,46,European-style renovation
