price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
125.0,Secondary, Октябрьское поле,8,5,234.7,120.8,26.1,2,3,Without renovation
173.9565,Secondary, Выставочная,1,4,232.5,153.4,25.9,75,85,Designer
125.0,Secondary, Китай-город,4,6,240.0,190.0,20.0,5,6,Designer
243.25,Secondary,Улица 1905 года,7,4,136.0,70.9,17.9,19,21,European-style renovation
457.34525,Secondary,Фрунзенская,9,3,173.6,89.9,21.0,2,11,Designer
120.0,Secondary,Кропоткинская,8,4,105.0,70.0,25.0,3,5,Designer
100.0,Secondary, Улица 1905 года,6,3,90.0,47.6,14.1,7,21,Designer
350.0,Secondary, Парк Культуры,6,4,233.2,185.0,25.0,6,8,European-style renovation
396.942,Secondary, Третьяковская,3,2,145.41,128.9,11.6,2,4,Designer
350.0,Secondary, Киевская,12,6,257.0,132.1,27.9,8,9,Without renovation
130.0,Secondary, Пушкинская,6,4,121.0,63.3,16.7,4,7,Designer
194.7,Secondary, Фрунзенская,8,5,204.7,124.0,22.0,10,13,Without renovation
222.0,Secondary, Спортивная,8,3,237.0,157.0,26.2,14,14,Designer
365.0,Secondary,Фрунзенская,10,0,228.0,124.0,20.0,11,12,Without renovation
195.0,Secondary, Улица 1905 года,7,5,184.0,117.0,9.0,17,21,Designer
747.27,Secondary, Спортивная,8,0,517.86,309.0,59.0,14,15,Without renovation
300.0,Secondary,Минская,25,6,693.0,352.5,64.0,7,7,Without renovation
280.5,Secondary,Полянка,6,4,165.0,114.1,40.0,2,6,Designer
340.0,Secondary, Улица 1905 года,11,5,284.0,145.7,30.1,16,17,Designer
180.0,Secondary, Новокузнецкая,10,2,75.0,43.3,10.0,5,7,Designer
134.115,Secondary, Воробьёвы горы,15,4,156.2,57.6,19.6,13,18,Designer
143.0,Secondary,Аэропорт,9,6,180.0,114.0,22.0,14,57,Designer
270.0,Secondary, Белорусская,7,4,316.0,161.9,32.8,6,6,Designer
151.518366,Secondary, Третьяковская,9,2,79.1,42.1,13.2,6,6,Designer
175.0,Secondary, Беговая,5,5,190.75,98.6,22.4,10,21,Designer
151.46439,Secondary, Киевская,8,5,158.27,82.1,19.7,9,14,Designer
320.0,Secondary, Маяковская,10,6,300.0,172.0,36.0,6,9,Designer
269.28449,Secondary, Киевская,13,2,155.65,80.8,19.5,4,14,Designer
155.0,Secondary,Спортивная,11,4,179.2,92.7,20.0,2,15,Without renovation
437.88375,Secondary,Минская,25,5,320.0,117.0,33.1,1,7,European-style renovation
90.0,Secondary,Багратионовская,12,4,105.0,55.2,12.0,10,28,Designer
250.0,Secondary, Кропоткинская,10,5,250.0,168.0,18.0,3,5,Designer
263.152759,Secondary,Ломоносовский проспект,15,7,643.9,327.7,59.9,17,17,Without renovation
632.36225,Secondary,Смоленская,10,6,461.6,235.5,15.0,5,9,Designer
155.0,Secondary, Давыдково,4,5,279.6,143.5,29.8,1,26,Without renovation
400.0,Secondary, Спортивная,8,5,201.6,48.3,23.3,1,7,Designer
135.0,Secondary,Красные ворота,11,6,224.0,115.4,25.2,1,22,European-style renovation
399.0,Secondary,Смоленская,10,8,348.0,178.1,35.4,7,7,Without renovation
340.57625,Secondary,Тверская,10,5,160.0,83.0,19.9,8,9,Designer
146.715789,Secondary, Арбатская,9,2,121.2,63.4,16.7,8,8,Designer
104.0,Secondary, Улица 1905 года,6,3,108.0,56.7,15.6,9,21,Designer
290.0,Secondary, Смоленская,13,3,151.0,106.0,20.0,2,7,Designer
205.04,Secondary,Арбатская,6,6,252.0,129.5,7.0,6,8,Designer
90.0,Secondary,Смоленская,6,3,98.5,51.9,14.8,3,4,Designer
130.0,Secondary,Третьяковская,2,4,165.0,104.0,10.0,4,5,European-style renovation
300.0,Secondary, Улица 1905 года,7,4,237.0,175.0,26.2,15,15,Designer
170.0,Secondary,Добрынинская,9,4,186.0,100.0,29.0,5,5,Designer
400.0,Secondary,Лужники,8,4,201.6,104.1,12.0,1,7,Designer
154.5,Secondary,Арбатская,5,4,131.0,87.0,16.0,6,7,European-style renovation
205.47,Secondary,Фрунзенская,10,4,152.2,54.0,19.2,10,15,Without renovation
85.0,Secondary,Раменки,15,4,130.0,67.9,20.0,13,21,Designer
99.0,Secondary, Сретенский бульвар,5,6,207.0,20.0,23.8,2,5,Cosmetic
